MVI results,,,,
Country,ISO,MVI - Score,Structural vulnerability index,Lack of Structural Resilience Index
Afghanistan,AFG,54.9,47.8,61.2
Angola,AGO,47.5,44.4,50.4
United Arab Emirates,ARE,54.4,43.3,63.6
Argentina,ARG,41.9,32.3,49.7
Armenia,ARM,49.4,46.7,52.0
Antigua and Barbuda,ATG,61.7,63.4,59.9
Azerbaijan,AZE,46.9,41.4,51.8
Burundi,BDI,61.7,55.6,67.3
Benin,BEN,49.6,39.6,57.9
Burkina Faso,BFA,58.1,51.1,64.4
Bangladesh,BGD,52.4,47.2,57.1
Bahrain,BHR,60.4,45.3,72.5
Bahamas,BHS,59.9,56.4,63.1
Belize,BLZ,53.0,55.6,50.3
Bolivia (Plurinational State of),BOL,41.6,37.1,45.8
Brazil,BRA,41.1,32.8,48.1
Barbados,BRB,57.9,46.2,67.6
Brunei Darussalam,BRN,52.9,48.4,57.0
Bhutan,BTN,41.8,34.5,48.1
Botswana,BWA,64.2,62.5,65.9
Central African Republic,CAF,52.0,46.6,56.9
Chile,CHL,48.4,38.6,56.6
China,CHN,46.1,45.7,46.5
C™te D'Ivoire,CIV,42.6,32.9,50.4
Cameroon,CMR,44.8,47.4,42.0
Democratic Republic of the Congo,COD,54.6,53.8,55.3
Congo,COG,60.0,65.3,54.2
Colombia,COL,40.4,36.4,44.1
Comoros,COM,60.3,53.9,66.0
Cabo Verde,CPV,60.5,62.5,58.4
Costa Rica,CRI,46.5,46.4,46.6
Cuba,CUB,46.6,51.8,40.7
Djibouti,DJI,70.8,73.8,67.6
Dominica,DMA,55.4,62.4,47.3
Dominican Republic,DOM,45.1,43.1,47.0
Algeria,DZA,53.3,55.9,50.5
Ecuador,ECU,45.5,49.2,41.5
Egypt,EGY,58.5,50.2,65.9
Eritrea,ERI,63.2,63.4,63.1
Ethiopia,ETH,55.2,54.5,55.9
Fiji,FJI,51.7,50.2,53.2
Micronesia (Federated States of),FSM,64.0,56.4,70.8
Gabon,GAB,42.5,37.9,46.6
Georgia,GEO,38.6,29.1,46.2
Ghana,GHA,44.1,33.0,53.0
Guinea,GIN,47.7,45.4,49.8
Gambia,GMB,59.1,56.8,61.3
Guinea-Bissau,GNB,58.8,60.4,57.0
Equatorial Guinea,GNQ,52.2,52.6,51.8
Grenada,GRD,61.7,65.3,57.8
Guatemala,GTM,44.7,34.0,53.4
Guyana,GUY,46.4,55.1,35.8
Honduras,HND,48.2,50.8,45.5
Haiti,HTI,65.6,68.0,63.0
Indonesia,IDN,32.1,20.6,40.5
India,IND,46.0,31.2,57.1
Iran (Islamic Republic of),IRN,55.7,56.9,54.4
Iraq,IRQ,60.7,64.2,56.9
Jamaica,JAM,49.6,48.1,51.0
Jordan,JOR,60.6,56.9,64.0
Kazakhstan,KAZ,43.0,38.6,47.0
Kenya,KEN,57.0,54.1,59.7
Kyrgyzstan,KGZ,43.5,35.1,50.6
Cambodia,KHM,49.0,53.2,44.3
Kiribati,KIR,59.8,48.8,69.1
Saint Kitts and Nevis,KNA,55.0,52.4,57.5
Kuwait,KWT,64.0,51.7,74.3
Lao PDR,LAO,43.8,46.3,41.2
Lebanon,LBN,62.6,56.0,68.5
Liberia,LBR,61.8,65.6,57.7
Libya,LBY,61.7,63.8,59.4
Saint Lucia,LCA,66.5,73.2,59.1
Sri Lanka,LKA,48.6,44.8,52.1
Lesotho,LSO,62.4,57.9,66.6
Morocco,MAR,43.0,35.0,49.7
Madagascar,MDG,49.6,39.4,58.0
Maldives,MDV,72.2,70.4,74.0
Mexico,MEX,42.0,39.7,44.2
Marshall Islands,MHL,58.9,45.1,70.0
Mali,MLI,56.4,48.2,63.6
Myanmar,MMR,39.3,36.7,41.7
Mongolia,MNG,49.9,50.1,49.6
Mozambique,MOZ,47.5,44.7,50.2
Mauritania,MRT,67.7,71.2,64.0
Mauritius,MUS,52.2,38.6,62.9
Malawi,MWI,53.7,42.7,62.8
Malaysia,MYS,39.4,39.4,39.4
Namibia,NAM,58.4,60.7,56.0
Niger,NER,64.3,63.4,65.3
Nigeria,NGA,53.1,44.6,60.4
Nicaragua,NIC,45.9,50.5,40.7
Nepal,NPL,45.7,43.6,47.7
Nauru,NRU,68.7,58.2,77.7
Oman,OMN,59.8,51.7,67.0
Pakistan,PAK,59.9,58.4,61.4
Panama,PAN,40.2,35.6,44.4
Peru,PER,39.1,32.4,44.8
Philippines,PHL,43.6,40.8,46.3
Palau,PLW,57.0,53.7,60.2
Papua New Guinea,PNG,47.1,26.6,61.0
Democratic People's Republic of Korea,PRK,41.0,33.9,47.0
Paraguay,PRY,49.9,49.2,50.5
Qatar,QAT,58.1,42.6,70.3
Rwanda,RWA,54.4,46.3,61.5
Saudi Arabia,SAU,55.2,50.9,59.3
Sudan,SDN,62.8,67.1,58.3
Senegal,SEN,46.3,41.0,51.1
Singapore,SGP,52.4,39.8,62.5
Solomon Islands,SLB,55.9,50.2,61.0
Sierra Leone,SLE,54.9,50.8,58.7
El Salvador,SLV,52.7,53.4,52.1
Somalia,SOM,67.8,62.6,72.5
South _Sudan,SSD,67.3,72.8,61.3
Sao Tome and Principe,STP,53.5,55.2,51.6
Suriname,SUR,43.2,42.2,44.1
Eswatini,SWZ,57.3,49.0,64.5
Seychelles,SYC,54.5,47.2,61.0
Syrian Arab Republic,SYR,57.5,59.1,55.9
Chad,TCD,69.4,73.8,64.6
Togo,TGO,44.1,34.2,52.2
Thailand,THA,43.1,43.9,42.4
