city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Suva,-18.1416,178.4419,Fiji,FJ,Rewa,primary,185913,88271
Nadi,-17.8,177.4167,Fiji,FJ,Ba,,71048,71048
Nausori,-18.0244,178.5454,Fiji,FJ,Tailevu,,57882,57882
Lautoka,-17.6242,177.4528,Fiji,FJ,Ba,,52220,52220
Labasa,-16.4311,179.3703,Fiji,FJ,Macuata,,27949,27949
Lami,-18.1167,178.4167,Fiji,FJ,Rewa,,20529,20529
Nakasi,-18.0667,178.5167,Fiji,FJ,Naitasiri,,18919,18919
Ba,-17.5333,177.6833,Fiji,FJ,Ba,,18526,18526
Sigatoka,-18.1414,177.5069,Fiji,FJ,Nadroga and Navosa,,9622,9622
Navua,-18.22,178.18,Fiji,FJ,Serua,,5812,5812
Vaileka,-17.3667,178.15,Fiji,FJ,Ra,,5078,5078
Savusavu,-16.7808,179.3331,Fiji,FJ,Cakaudrove,,5000,5000
Levuka,-17.684,178.8401,Fiji,FJ,Lomaiviti,,4397,1131
