Country,ISO,Structural Vulnerability Index,Economic vulnerability,Exposure to fluctuations in international trade and financial flows,Merchandise and services export concentration,Exposure to fluctuations export earnings,Instability of export revenue ,Exposure to fluctuations in strategic import prices ,Food and fuel import dependency,Environmental vulnerability, Exposure to natural hazards ,Victims of natural hazards,Damages related to natural hazard,Exposure to extreme weather events,Rainfall shocks,Temperature shocks,Exposure to ecosystem pressure,Drylands,Low elevated coastal zones ,Social vulnerability,Exposure to global health shocks,Victims of epidemics,Spillover effects of regional violence,Regional Conflict-related death (excluding own country's data),Regional Homicide (excluding own country's data),Exposure to entrance of international forced displacement of people ,Refugees from abroad
Afghanistan,AFG,47.8,55.79,62.55,62.55,61.07,61.07,41.19,41.19,52.76,26.54,36.82,7.32,60.18,85.11,0.00,63.44,89.72,0.00,31.02,6.21,6.21,13.10,13.91,12.22,51.74,51.74
Angola,AGO,44.4,60.95,100.00,100.00,31.15,31.15,13.26,13.26,35.55,10.30,14.57,0.01,55.85,57.49,54.16,23.82,33.68,0.24,30.67,37.29,37.29,34.77,23.26,43.31,14.91,14.91
United Arab Emirates,ARE,43.3,34.26,20.20,20.20,16.74,16.74,53.22,53.22,61.57,0.00,0.00,0.00,79.65,92.21,64.70,70.91,100.00,7.44,25.89,0.00,0.00,44.82,63.31,3.00,1.57,1.57
Argentina,ARG,32.3,23.80,36.00,36.00,20.02,20.02,1.65,1.65,43.57,6.83,2.46,9.34,55.82,78.94,0.00,50.33,71.16,1.63,25.87,22.02,22.02,39.00,0.00,55.15,1.38,1.38
Armenia,ARM,46.7,39.02,21.84,21.84,48.76,48.76,41.38,41.38,40.49,3.17,2.29,3.85,56.50,79.91,0.00,41.43,58.59,0.00,58.09,0.00,0.00,11.16,12.06,10.18,100.00,100.00
Antigua and Barbuda,ATG,63.4,70.08,97.68,97.68,54.17,54.17,47.53,47.53,74.01,72.86,24.86,100.00,74.85,77.80,71.77,74.32,100.00,32.36,40.84,0.00,0.00,70.71,0.00,100.00,1.84,1.84
Azerbaijan,AZE,41.4,55.19,81.47,81.47,47.05,47.05,16.97,16.97,44.98,2.01,0.95,2.68,55.44,78.40,0.00,54.70,77.36,0.00,8.27,0.00,0.00,14.15,9.85,17.42,2.28,2.28
Burundi,BDI,55.6,62.11,77.30,77.30,70.27,70.27,25.71,25.71,45.54,16.32,22.85,3.24,77.17,83.12,70.73,0.00,0.00,0.00,57.86,5.07,5.07,24.13,26.60,21.37,97.14,97.14
Benin,BEN,39.6,48.82,48.44,48.44,48.11,48.11,49.91,49.91,43.34,6.22,8.80,0.00,67.83,57.72,76.62,31.55,44.58,1.70,21.00,8.50,8.50,35.30,31.52,38.72,2.12,2.12
Burkina Faso,BFA,51.1,52.04,76.95,76.95,29.77,29.77,36.28,36.28,60.72,28.89,38.51,13.64,79.69,70.14,88.20,62.26,88.05,0.00,38.07,50.58,50.58,32.23,29.78,34.51,27.38,27.38
Bangladesh,BGD,47.2,53.59,87.92,87.92,22.83,22.83,19.08,19.08,49.12,48.67,52.50,44.51,60.16,10.71,84.40,35.34,0.00,49.98,37.40,26.45,26.45,15.86,20.22,9.71,56.97,56.97
Bahrain,BHR,45.3,43.95,48.87,48.87,24.65,24.65,52.91,52.91,49.77,0.00,0.00,0.00,76.25,92.88,54.79,40.23,0.00,56.89,41.72,0.00,0.00,72.18,100.00,20.51,3.23,3.23
Bahamas,BHS,56.4,54.96,80.20,80.20,38.12,38.12,34.30,34.30,69.74,71.06,9.88,100.00,65.46,72.37,57.71,72.50,22.65,100.00,40.83,0.00,0.00,70.71,0.00,100.00,0.64,0.64
Belize,BLZ,55.6,60.51,67.65,67.65,37.68,37.68,70.61,70.61,62.88,74.98,35.28,100.00,77.84,92.19,60.16,13.36,0.00,18.90,40.83,0.00,0.00,70.71,0.00,100.00,0.93,0.93
Bolivia (Plurinational State of),BOL,37.1,27.04,39.00,39.00,20.82,20.82,15.46,15.46,43.42,37.28,27.75,44.83,57.39,68.75,43.12,31.18,44.09,0.00,38.87,56.48,56.48,36.63,0.00,51.80,1.27,1.27
Brazil,BRA,32.8,17.81,28.01,28.01,12.33,12.33,3.91,3.91,34.19,12.56,16.48,6.63,57.18,52.63,61.40,8.93,12.40,2.38,41.77,43.68,43.68,57.65,0.00,81.53,1.37,1.37
Barbados,BRB,46.2,49.07,66.98,66.98,19.39,19.39,48.58,48.58,48.35,1.10,1.28,0.88,83.71,94.27,71.61,2.42,0.00,3.43,40.82,0.00,0.00,70.71,0.00,100.00,0.00,0.00
Brunei Darussalam,BRN,48.4,71.61,90.03,90.03,13.52,13.52,84.24,84.24,43.59,0.00,0.00,0.00,75.33,80.55,69.73,5.06,0.00,7.16,3.43,0.00,0.00,5.93,0.14,8.39,0.00,0.00
Bhutan,BTN,34.5,48.82,48.82,48.82,46.70,46.70,50.84,50.84,34.16,1.35,1.90,0.00,58.64,67.32,48.43,7.76,10.98,0.00,3.90,0.00,0.00,6.76,0.61,9.54,0.00,0.00
Botswana,BWA,62.5,64.11,86.18,86.18,57.74,57.74,39.63,39.63,52.91,1.83,1.80,1.86,58.26,74.54,35.12,70.71,100.00,0.00,69.29,100.00,100.00,64.29,2.32,90.89,16.39,16.39
Central African Republic,CAF,46.6,55.05,73.83,73.83,54.12,54.12,26.68,26.68,33.82,1.89,2.68,0.00,58.35,51.68,64.33,4.88,6.90,0.00,48.33,16.05,16.05,73.27,100.00,27.13,37.17,37.17
Chile,CHL,38.6,38.63,61.91,61.91,7.72,7.72,24.15,24.15,53.41,71.87,18.20,100.00,53.19,69.21,29.47,23.74,33.54,1.40,10.72,0.00,0.00,18.48,0.00,26.13,1.76,1.76
China,CHN,45.7,39.84,65.27,65.27,15.62,15.62,16.06,16.06,54.06,65.52,83.91,39.29,55.55,78.47,3.64,37.28,52.68,2.01,41.75,0.08,0.08,72.21,100.00,20.72,3.76,3.76
C™te D'Ivoire,CIV,32.9,40.24,59.22,59.22,22.87,22.87,28.76,28.76,36.06,0.15,0.21,0.00,62.46,41.78,77.83,0.49,0.00,0.69,18.01,2.20,2.20,31.07,32.45,29.62,1.61,1.61
Cameroon,CMR,47.4,19.19,23.67,23.67,13.37,13.37,19.11,19.11,32.44,0.88,1.25,0.05,55.48,47.47,62.47,8.84,12.49,0.31,72.89,10.60,10.60,76.33,100.00,40.65,100.00,100.00
Democratic Republic of the Congo,COD,53.8,61.15,91.58,91.58,51.87,51.87,11.84,11.84,31.83,1.02,1.14,0.89,55.13,50.20,59.64,0.56,0.78,0.04,62.68,20.07,20.07,75.56,100.00,37.65,75.32,75.32
